Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation 1,Violation 1 Description,Violation 2,Violation 2 Description,Violation 3,Violation 3 Description,Violation 4,Violation 4 Description,Violation 5,Violation 5 Description,Violation 6,Violation 6 Description,Violation 7,Violation 7 Description,Violation 8,Violation 8 Description,Violation 9,Violation 9 Description,Violation 10,Violation 10 Description,Violation 11,Violation 11 Description,Violation 12,Violation 12 Desription,Violation 13,Violation 13 Description,Geocoded Location
SANSONE'S SEAFOOD MKT,1830 W 7TH ST,WILMINGTON,19805,01/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1830 W 7TH ST
WILMINGTON, DE 19805
(39.750976, -75.570204)"
Asian House,1222 Beaver Brook Plaza,New Castle,19720,03/04/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"1222 Beaver Brook Plaza
New Castle, DE 19720
(39.641488, -75.625027)"
Capers & Lemons Italian Restaurant & Market,301 Little Falls Dr,Wilmington,19808,02/02/2016,Complaint,4-703_11 Methods-Hot Water and Chemical P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"301 Little Falls Dr
Wilmington, DE 19808
(39.759383, -75.62363)"
JPMC 3CC,201 N Walnut St. 11th Fl,Wilmington,19801,01/13/2016,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,"201 N Walnut St. 11th Fl
Wilmington, DE 19801
(39.738015, -75.549463)"
Arner's Family Restaurant,201 N DuPont Hwy,New Castle,19720,02/08/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation,5-205_15 System Maintained/Repair P (a),Violation,"5-201_11 Materials, Approved P",Violation,5-304_11 Flushing and Disinfecting System P,Violation,4-502_11 Good Repair and Calibration Pf (b),Violation,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,3-301_12 Contamination When Tasting P,Violation,3-502_11 Variance Requirement Pf,Violation,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,,,,,"201 N DuPont Hwy
New Castle, DE 19720
(39.68285, -75.588503)"
KUKURUKOO EXPRESS,101 W. MARKET ST.,NEWPORT,19804,01/04/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,,,,,,,,,,,,,,,,,,,,,,,"101 W. MARKET ST.
NEWPORT, DE 19804
(39.713607, -75.610986)"
Merchant Bar,426 N Market St,Wilmington,19801,03/09/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,6-501_115 Prohibiting Animals Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"426 N Market St
Wilmington, DE 19801
(39.741088, -75.550834)"
Masala Kitchen,110 N DuPont Hwy.,New Castle,19720,01/08/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"110 N DuPont Hwy.
New Castle, DE 19720
(39.667381, -75.602227)"
La Tonalteca,1237 Churchman's Rd,Newark,19713,01/04/2016,Routine,3-201_11 Compliance with Food Law P,Violation - Corrected on Site,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,3-502_11 Variance Requirement Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,"1237 Churchman's Rd
Newark, DE 19713
(39.689886, -75.662093)"
Nutrition Station,11 Presbury Square  1st Floor,Newark,19713,01/26/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 Presbury Square 1st Floor
Newark, DE 19713
(39.673824, -75.731381)"
TWO COUSINS PIZZA,7460 LANCASTER PIKE,HOCKESSIN,19707,02/03/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation,7-203_11 Poisonous/Toxic Material Containers P,Violation,2-201_11 Responsibility of Person in Charge P,Violation,,,,,,,,,,,,,,,,,,,,,"7460 LANCASTER PIKE
HOCKESSIN, DE 19707
(39.789559, -75.699051)"
Primo Hoagies,3501 Philadelphia Pike,Claymont,19703,01/13/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"3501 Philadelphia Pike
Claymont, DE 19703
(39.801856, -75.458617)"
Chick-Fil-A Restaurant,4657 Ogletown Stanton Rd.,Newark,19713,02/16/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"4657 Ogletown Stanton Rd.
Newark, DE 19713
(39.686396, -75.679972)"
LUCY'S SEASONS PIZZA,3840 N. MARKET ST.,WILMINGTON,19802,03/24/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"3840 N. MARKET ST.
WILMINGTON, DE 19802
(39.75989, -75.523955)"
CLAYMONT STEAKS AND SUBS,3526 PHILADELPHIA PIKE,CLAYMONT,19703,01/13/2016,Routine,3-801_11 Special Requirements P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"3526 PHILADELPHIA PIKE
CLAYMONT, DE 19703
(39.802555, -75.457627)"
SINCLAIR'S CAFE,177 E MAIN ST,NEWARK,19711,01/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"177 E MAIN ST
NEWARK, DE 19711
(39.683618, -75.745739)"
Seafood Stop,12 E 4th St.,Wilmington,19801,02/04/2016,Routine,"5-202_13 Backflow Prevention, Air Gap P",Violation - Corrected on Site,7-202_11 Restriction Pf (a),Violation,,,,,,,,,,,,,,,,,,,,,,,"12 E 4th St.
Wilmington, DE 19801
(39.740164, -75.550705)"
DELAWARE PARK - BACKSIDE CAFETERIA,777 DELAWARE PARK BLVD.,WILMINGTON,19804,01/29/2016,Routine,7-204_11 Sanitizers P,Violation - Corrected on Site,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,"777 DELAWARE PARK BLVD.
WILMINGTON, DE 19804
(39.706732, -75.666379)"
Sciarrino's Pizza,2310 Carpenter Station Rd.,Wilmington,19810,03/28/2016,Routine,3-301_12 Contamination When Tasting P,Violation - Corrected on Site,3-306_11 Food Display P,Violation - Corrected on Site,5-304_11 Flushing and Disinfecting System P,Violation - Corrected on Site,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,3-801_11 Special Requirements P,Violation,,,,,,,,,,,,,,,,,"2310 Carpenter Station Rd.
Wilmington, DE 19810
(39.817649, -75.466632)"
DUNKIN' DONUTS,1720 NAAMAN'S RD,WILMINGTON,19810,03/18/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1720 NAAMAN'S RD
WILMINGTON, DE 19810
(39.822879, -75.48861)"
Popeye's,1505 N DuPont Hwy,New Castle,19720,01/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1505 N DuPont Hwy
New Castle, DE 19720
(39.691, -75.580982)"
Vicks Food Mart,703 Pulaski Hwy,Bear,19701,01/27/2016,Followup,5-304_11 Flushing and Disinfecting System P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"703 Pulaski Hwy
Bear, DE 19701
(39.646176, -75.636777)"
Marsh Road Diner,407 Marsh Rd.,Wilmington,19809,01/29/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"407 Marsh Rd.
Wilmington, DE 19809
(39.767532, -75.509063)"
Christiana Care Health Svcs-Wilmington,501 W. 14th St.,Wilmington,19899,03/16/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"501 W. 14th St.
Wilmington, DE 19899
(39.750572, -75.548955)"
Pasteles Rojas,2110 Kirkwood Hwy,Wilmington,19805,02/01/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation - Corrected on Site,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"2110 Kirkwood Hwy
Wilmington, DE 19805
(39.738196, -75.609852)"
Brewed Awakenings,64 E Main St.,Newark,19711,03/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"64 E Main St.
Newark, DE 19711
(39.683206, -75.750924)"
Shoprite,1101 Governor's Place,Bear,19701,03/15/2016,Routine,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"1101 Governor's Place
Bear, DE 19701
(39.632309, -75.664647)"
Edible Arrangements,260 Dove Run Drive,Middletown,19709,03/18/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"260 Dove Run Drive
Middletown, DE 19709
(39.452353, -75.691653)"
7-Eleven Store 34751A,699 E Chestnut Hill Rd.,Newark,19713,03/16/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"699 E Chestnut Hill Rd.
Newark, DE 19713
(39.674495, -75.703257)"
Nora Lees French Quarter Bistro,124 Delaware St.,New Castle,19720,01/27/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"124 Delaware St.
New Castle, DE 19720
(39.659239, -75.563344)"
L & G Southern Soul Food,317 S DuPont Hwy,New Castle,19720,01/28/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"317 S DuPont Hwy
New Castle, DE 19720
(39.649163, -75.621325)"
MCDONALDS,216 CHRISTIANA MALL,NEWARK,19702,02/17/2016,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,"216 CHRISTIANA MALL
NEWARK, DE 19702
(39.676462, -75.650034)"
CINEMARK MOVIES 10,1796 W NEWPORT PK,STANTON,19804,01/11/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"1796 W NEWPORT PK
STANTON, DE 19804
(39.715743, -75.630345)"
Cannon's Bakery Inc,228 Astro Shopping Center,Newark,19711,03/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"228 Astro Shopping Center
Newark, DE 19711
(39.70663, -75.685876)"
DEER PARK TAVERN,108 W MAIN ST,NEWARK,19711,03/17/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,7-203_11 Poisonous/Toxic Material Containers P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"108 W MAIN ST
NEWARK, DE 19711
(39.682962, -75.75591)"
Middletown Family Restaurant & Diner,5240 Summit Bridge Rd. Rt 896-301 South,Middletown,19709,02/08/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,3-301_12 Contamination When Tasting P,Violation - Corrected on Site,7-204_11 Sanitizers P,Violation - Corrected on Site,8-103_11 Documentation and Justification Pf,Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,"5240 Summit Bridge Rd. Rt 896-301 South
Middletown, DE 19709
(39.465282, -75.721266)"
Picciotti's Pizza,777 Delaware Park Blvd.,Wilmington,19804,01/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"777 Delaware Park Blvd.
Wilmington, DE 19804
(39.706732, -75.666379)"
Semo's Shish Kebob Cart,1001 Jefferson St.,Wilmington,19801,03/15/2016,Routine,"5-201_11 Materials, Approved P",Violation - Corrected on Site,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,"1001 Jefferson St.
Wilmington, DE 19801
(39.747841, -75.55273)"
Wicked Vine (The),1934 W 6th St.,Wilmington,19805,03/16/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation,,,,,,,,,,,,,,,,,,,,,,,,,"1934 W 6th St.
Wilmington, DE 19805
(39.750667, -75.571775)"
KING GARDEN,214 W. MARKET STREET,NEWPORT,19804,02/19/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation - Corrected on Site,3-301_12 Contamination When Tasting P,Violation - Corrected on Site,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,"214 W. MARKET STREET
NEWPORT, DE 19804
(39.713473, -75.612898)"
Half Baked Patisserie,13 W Main St.,Middletown,19709,02/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"13 W Main St.
Middletown, DE 19709
(39.449663, -75.717237)"
Minato Japanese Restaurant,101 W 8th St.,Wilmington,19810,01/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"101 W 8th St.
Wilmington, DE 19810
(39.743707, -75.549981)"
Opa-Opa,11A Trolley Square,Wilmington,19806,01/08/2016,Routine,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,5-205_15 System Maintained/Repair P (a),Violation,3-801_11 Special Requirements P,Violation,,,,,,,,,,,,,,,,,,,,,"11A Trolley Square
Wilmington, DE 19806
(39.757796, -75.561392)"
Little Caesars,1400A North DuPont Hwy,New Castle,19720,01/06/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1400A North DuPont Hwy
New Castle, DE 19720
(39.688966, -75.582404)"
Kentucky Fried Chicken,1925 Lancaster Ave,Wilmington,19805,01/07/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"1925 Lancaster Ave
Wilmington, DE 19805
(39.746722, -75.574288)"
OCEANMART DELI,2501 Red Lion Road,BEAR,19701,02/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"2501 Red Lion Road
BEAR, DE 19701
(39.57033, -75.697708)"
AU BON PAIN CAFÉ & BAKERY @ CHRISTIANA HOSPITAL,4755 OGLETOWN-STANTON ROAD,NEWARK,19718,02/17/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"4755 OGLETOWN-STANTON ROAD
NEWARK, DE 19718
(39.689909, -75.673228)"
Auntie Anne's Pretzels,3214 Kirkwood Hwy,Wilmington,19808,02/25/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation - Corrected on Site,4-703_11 Methods-Hot Water and Chemical P,Violation - Corrected on Site,"5-301_11 Materials, Approved P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,"3214 Kirkwood Hwy
Wilmington, DE 19808
(39.737161, -75.625357)"
El Diablo,13A Trolley Square,Wilmington,19806,03/07/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"13A Trolley Square
Wilmington, DE 19806
(39.757662, -75.561246)"
BJ'S WHOLESALE CLUB #178- BAKERY,100 PENCADER PLAZA,NEWARK,19713,03/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 PENCADER PLAZA
NEWARK, DE 19713
(39.658995, -75.736503)"
LA CABANA RESTAURANT,#26 CANBY PARK SHOPPING CENTER,WILMINGTON,19805,01/26/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"#26 CANBY PARK SHOPPING CENTER
WILMINGTON, DE 19805
(39.746377, -75.575799)"
Bracebridge Café,1020 N French St.,Wilmington,19801,03/14/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1020 N French St.
Wilmington, DE 19801
(39.747116, -75.54448)"
BLUE CRAB GRILL,322 SUBURBAN DR,NEWARK,19711,02/02/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"322 SUBURBAN DR
NEWARK, DE 19711
(39.668494, -75.777932)"
Panera Bread,138 E Main St,Newark,19711,03/09/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"138 E Main St
Newark, DE 19711
(39.683477, -75.747508)"
River Club Facility,7807 Governor Printz Blvd.,Claymont,19703,01/12/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation,,,,,,,,,,,,,,,,,,,,,,,,,"7807 Governor Printz Blvd.
Claymont, DE 19703
(39.790946, -75.465115)"
3 Countries Pizzeria,202 E 6th St,New Castle,19720,01/15/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"202 E 6th St
New Castle, DE 19720
(39.664497, -75.563738)"
China House,1620 W. Newport Pike,Wilmington,19804,01/12/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation,8-103_11 Documentation and Justification Pf,Violation,3-301_12 Contamination When Tasting P,Violation,7-204_12 Washing Fruits and Vegetables P (a),Violation,5-205_15 System Maintained/Repair P (a),Violation,4-703_11 Methods-Hot Water and Chemical P,Violation,6-501_111 Controlling Pests Pf ( C),Violation,,,,,,,,,,,,,"1620 W. Newport Pike
Wilmington, DE 19804
(39.71553, -75.628766)"
FOOD LION #1369,501 W. MAIN ST.,MIDDLETOWN,19709,01/07/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"501 W. MAIN ST.
MIDDLETOWN, DE 19709
(39.449337, -75.724669)"
Senor Tortillia,1730 W Newport Pike,Stanton,19804,02/01/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation - Corrected on Site,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"1730 W Newport Pike
Stanton, DE 19804
(39.715646, -75.629613)"
Meadowood Hosptl-Nutrtn Dpt.,575 S DuPont Hwy,New Castle,19720,03/02/2016,Followup,8-405_11 Timely Correction Pf (a),Violation,,,,,,,,,,,,,,,,,,,,,,,,,"575 S DuPont Hwy
New Castle, DE 19720
(39.639121, -75.628531)"
NICK & JOE'S PIZZA,413-B NEW LONDON ROAD,NEWARK,19711,01/12/2016,Routine,3-502_11 Variance Requirement Pf,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"413-B NEW LONDON ROAD
NEWARK, DE 19711
(39.694939, -75.764491)"
Chestnut Market,1301 Chestnut St.,Wilmington,19805,01/12/2016,Routine,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"1301 Chestnut St.
Wilmington, DE 19805
(39.742328, -75.566463)"
UNITARIAN UNIVERSALIST FELLOWSHIP,420 WILLA ROAD,NEWARK,19711,01/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"420 WILLA ROAD
NEWARK, DE 19711
(39.672449, -75.763287)"
"Pa Dutch Country Café, LLC",701 N Broad St.,Middletown,19709,03/18/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,"3-304.15 Gloves, Use Limitation P",Violation - Corrected on Site,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation - Corrected on Site,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation - Corrected on Site,4-101_11 Characteristics P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,"701 N Broad St.
Middletown, DE 19709
(39.457683, -75.71928)"
BOSTON MARKET,3603 PHILADELPHIA PIKE,CLAYMONT,19703,01/20/2016,Routine,3-501_19 Time as a Public Health Control P Pf,Violation - Corrected on Site,3-501_15 Cooling Methods Pf,Violation - Corrected on Site,2-301_14 When to Wash P,Violation,3-801_11 Special Requirements P,Violation,,,,,,,,,,,,,,,,,,,"3603 PHILADELPHIA PIKE
CLAYMONT, DE 19703
(39.803536, -75.456127)"
Coffee Beanery,4737 Concord Pike,Wilmington,19803,03/08/2016,Followup,2-101_11 Assignment of Responsibility Pf,Violation,3-801_11 Special Requirements P,Violation,,,,,,,,,,,,,,,,,,,,,,,"4737 Concord Pike
Wilmington, DE 19803
(39.824023, -75.545705)"
BERTUCCI'S,"3596 CONCORD PIKE, SUITE 3610",WILMINGTON,19803,03/16/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"3596 CONCORD PIKE, SUITE 3610
WILMINGTON, DE 19803
(39.803848, -75.548558)"
Two Stones,300 Lantana Dr.,Hockessin,19707,02/22/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 Lantana Dr.
Hockessin, DE 19707
(39.77467, -75.711308)"
NEW CASTLE COUNTY HEAD START INC.,1 BASSETT AVENUE,NEW CASTLE,19720,01/19/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 BASSETT AVENUE
NEW CASTLE, DE 19720
(39.694655, -75.583202)"
PIKE CREEK CROSSING,5821 LIMESTONE RD,WILMINGTON,19707,03/03/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"5821 LIMESTONE RD
WILMINGTON, DE 19707
(39.752645, -75.702886)"
SEASON'S PIZZA RESTAURANT,1460 PULASKI HWY,BEAR,19701,03/14/2016,Routine,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation,,,,,,,,,,,,,,,,,,,,,,,,,"1460 PULASKI HWY
BEAR, DE 19701
(39.622687, -75.683479)"
PAT'S PIZZERIA,1815 PHILADELPHIA PK,WILMINGTON,19809,02/05/2016,Routine,3-301_12 Contamination When Tasting P,Violation - Corrected on Site,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation,3-502_11 Variance Requirement Pf,Violation,5-304_11 Flushing and Disinfecting System P,Violation,,,,,,,,,,,,,,,,,,,"1815 PHILADELPHIA PK
WILMINGTON, DE 19809
(39.787914, -75.474751)"
Popeye's Chicken & Biscuits,1700 Kirkwood Hwy,Newark,19711,01/27/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"1700 Kirkwood Hwy
Newark, DE 19711
(39.700399, -75.701354)"
Grotto Pizza,2015 Concord Pike,Wilmington,19803,02/01/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015 Concord Pike
Wilmington, DE 19803
(39.788997, -75.546296)"
BENJAMINS ON 10TH,204 WEST 10TH STREET,WILMINGTON,19801,03/03/2016,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,"204 WEST 10TH STREET
WILMINGTON, DE 19801
(39.746265, -75.549524)"
MCDONALDS RESTAURANT,700 W. 4TH STREET,WILMINGTON,19801,02/18/2016,Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,"700 W. 4TH STREET
WILMINGTON, DE 19801
(39.743249, -75.558241)"
Frank's Deli,1517 W 4th ST,Wilmington,19805,03/11/2016,Routine,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation,3-301_12 Contamination When Tasting P,Violation,"7-201_11 Storage, Separation P",Violation,,,,,,,,,,,,,,,,,,,,,"1517 W 4th ST
Wilmington, DE 19805
(39.746957, -75.567339)"
MIKE'S FAMOUS STEAKS & SUBS,754 E CHESTNUT HILL RD,NEWARK,19713,02/04/2016,Routine,3-602_11 Food Labels Pf,Violation - Corrected on Site,7-203_11 Poisonous/Toxic Material Containers P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"754 E CHESTNUT HILL RD
NEWARK, DE 19713
(39.677166, -75.69917)"
MAMMA GINA PIZZA,110 N. DUPONT HWY.,NEW CASTLE,19720,01/08/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"110 N. DUPONT HWY.
NEW CASTLE, DE 19720
(39.667381, -75.602227)"
Best Food in Town,707 Pulaski Hwy,Bear,19702,03/07/2016,Routine,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation - Corrected on Site,6-501_111 Controlling Pests Pf ( C),Violation - Corrected on Site,5-205_15 System Maintained/Repair P (a),Violation - Corrected on Site,3-301_12 Contamination When Tasting P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,"707 Pulaski Hwy
Bear, DE 19702
(39.645992, -75.637102)"
JEENWONG'S THAI CUISINE,"3 SOUTH ORANGE, RIVER FRONT MARKET",WILMINGTON,19801,02/16/2016,Routine,5-101_12 System Flushing and Disinfection P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"3 SOUTH ORANGE, RIVER FRONT MARKET
WILMINGTON, DE 19801
(39.737471, -75.554889)"
Divaya Sub Inc - Subway,4721 Kirkwood Hwy,Wilmington,19808,01/28/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"4721 Kirkwood Hwy
Wilmington, DE 19808
(39.721844, -75.662152)"
Pasteleria Suani,619 1/2 Pulaski Hwy,Bear,19701,03/08/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation - Corrected on Site,"4-501_114 Chem_San_, Temp_/pH/Concentr_/Hard P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"619 1/2 Pulaski Hwy
Bear, DE 19701
(39.646528, -75.636155)"
Orange Deli & Grocery,837 N Orange St.,Wilmington,19801,01/27/2016,Routine,"6-501_15 Clean Maint Tools, Prev Contam Pf",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"837 N Orange St.
Wilmington, DE 19801
(39.744846, -75.549863)"
NINOS PIZZA,464 W. MAIN STREET,MIDDLETOWN,19709,01/06/2016,Routine,7-204_11 Sanitizers P,Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"464 W. MAIN STREET
MIDDLETOWN, DE 19709
(39.449344, -75.72446)"
MACKS MINI MART,128 MARIO DRIVE,BEAR,19701,01/29/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"128 MARIO DRIVE
BEAR, DE 19701
(39.649011, -75.661891)"
Kentucky Fried Chicken,220 Fox Run Dr.,Bear,19701,03/23/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"220 Fox Run Dr.
Bear, DE 19701
(39.605666, -75.720204)"
DELAWARE PSYCHIATRIC CENTER - KENT AND SUSSEX BLDG,1901 N DUPONT HWY,NEW CASTLE,19720,01/13/2016,Routine,4-502_11 Good Repair and Calibration Pf (b),Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,,,"1901 N DUPONT HWY
NEW CASTLE, DE 19720
(39.699677, -75.573246)"
LA TOLTECA EXPRESS,4015 CONCORD PIKE,WILMINGTON,19803,02/09/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"4015 CONCORD PIKE
WILMINGTON, DE 19803
(39.808719, -75.549135)"
NEWPORT EXXON SHOP,20 N James St.,NEWPORT,19804,01/04/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"20 N James St.
NEWPORT, DE 19804
(39.714104, -75.60957)"
Lettie's Kitchen,1318 Old Lancaster Pike,Hockessin,19707,03/11/2016,Routine,2-201_11 Responsibility of Person in Charge P,Violation - Corrected on Site,"3-302_13 Pasteurized Eggs, Certain Recipes P",Violation - Corrected on Site,,,,,,,,,,,,,,,,,,,,,,,"1318 Old Lancaster Pike
Hockessin, DE 19707
(39.788758, -75.698808)"
Domino's Pizza,232 E Cleveland Ave.,Newark,19711,01/07/2016,Routine,5-205_15 System Maintained/Repair P (a),Violation,,,,,,,,,,,,,,,,,,,,,,,,,"232 E Cleveland Ave.
Newark, DE 19711
(39.687163, -75.743961)"
J & J Corporate Café,87 Reads Way,New Castle,19720,01/11/2016,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,"87 Reads Way
New Castle, DE 19720
(39.687312, -75.61224)"
Farmhouse (The),5600 Old Capitol Trail,Wilmington,19808,01/27/2016,Routine,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600 Old Capitol Trail
Wilmington, DE 19808
(39.712418, -75.671454)"
TWO COUSINS PIZZA,7460 LANCASTER PIKE,HOCKESSIN,19707,02/18/2016,Followup,,,,,,,,,,,,,,,,,,,,,,,,,,,"7460 LANCASTER PIKE
HOCKESSIN, DE 19707
(39.789559, -75.699051)"
Feeling Good Nutrition,3615C Silverside Rd.,Wilmington,19810,03/08/2016,Pre-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,"3615C Silverside Rd.
Wilmington, DE 19810
(39.809171, -75.54779)"
